code,year,happiness,food_insec,precipitation,indiv_free,gini,hdi,gdp_pc,family,corruption,air_deaths,life_expectancy,temperature,urbanization,covid,hri,suicides,taxes,schooling
AFG,2022,1.859,25.244,18.004,6.037,13.8,,62.664,13.7530365,0.25067571346153844,0.015,,8.587,0.479,0.0,19.329,327.0,0.038,4.958
AFG,2021,2.4038,26.314,18.004,6.037,13.8,,61.9824,13.982875,0.28251936971153846,0.137,,8.587,0.478,1516.27326544595,28.4,327.0,0.175,4.958
AFG,2020,2.5229,26.026,18.004,6.037,13.8,,62.5751,12.358907,0.17822859402641508,0.417,,6.760211,0.483,1968.34100152117,22.6,327.0,0.56,5.0528383
AFG,2019,2.5669,25.754,16.609505,5.96,13.8,,63.5645,12.955639,0.237,0.365,,8.362843,0.488,2079.92186098824,19.8,327.0,0.517,4.958
AFG,2018,3.2033,25.495,16.527699,5.91,16.0,,63.081,13.735786,0.237,0.381,,9.173828,0.483,2060.69897292797,17.3,327.0,0.558,4.9497876
AFG,2017,3.6315,25.25,17.984146,5.95,15.0,,63.016,13.534083,0.237,0.358,,10.1876335,0.482,2096.09311055337,17.3,327.0,0.537,4.87
AFG,2016,3.794,25.02,17.944328,6.01,15.0,,63.1361,13.772996,0.237,0.325,,9.837913,0.481,2101.42218654808,15.1,327.0,0.514,4.958
AFG,2015,3.36,24.803,18.377846,5.99,11.0,,62.6587,12.976933,0.237,0.386,,7.874765,0.478,2108.71417281187,14.8,327.0,0.553,4.958
AFG,2014,3.575,24.587,18.807348,6.02,12.0,,62.5451,12.295863,0.237,0.374,,7.141338,0.479,2144.44963352064,19.329,327.0,0.554,4.958
AFG,2011,4.25835,23.948,19.775244,6.42,13.8,,61.4191,13.000847,0.237,0.402,,9.359386,0.456,1961.09631655741,19.329,327.0,0.577,4.958
ALB,2022,5.2773,59.06,10.18,4.617,36.4,97.42949,78.33,13.501849,0.1651656886653846,0.903,0.32,24.136,0.795,15491.9610024673,9.357,1485.0,0.873,8.908
ALB,2021,5.1988,62.969,10.18,4.617,36.4,97.429,76.4626,13.125365,0.8822996328076923,0.9,0.32,24.741135,0.796,14595.915310896,7.5,1485.0,0.878,8.908
ALB,2020,5.1174,62.112,10.18,4.617,36.4,97.429,76.9893,13.342265,0.5981366303018868,0.899,0.2941963,23.912548,0.794,13278.3433182533,7.7,1485.0,0.874,8.953018
ALB,2019,4.8827,61.229,9.543016,3.72,36.4,97.429,79.2825,13.521297,0.549,0.916,0.30115768,24.942486,0.81,13653.1550103049,8.8,1485.0,0.882,8.908
ALB,2018,4.7186,60.319,9.718166,3.94,36.0,97.429,79.1838,13.70238,0.549,0.901,0.30148283,25.149136,0.806,13317.0927360367,10.0,1485.0,0.881,8.851396
ALB,2017,4.586,59.383,9.87686,4.11,38.0,97.429,79.0473,13.111859,0.549,0.894,0.33055663,24.136,0.802,12770.9664236798,11.0,1485.0,0.884,8.92
ALB,2016,4.644,58.421,10.06132,4.17,39.0,97.429,78.8602,13.173279,0.549,0.913,0.33736297,23.537329,0.798,12291.8175748981,10.5,1485.0,0.891,8.908
ALB,2015,4.655,57.434,10.272267,4.23,36.0,97.429,78.6441,13.216008,0.549,0.913,0.32753733,23.985617,0.795,11878.4139402813,10.0,1485.0,0.891,8.908
ALB,2014,4.959,56.423,10.508793,4.52,33.0,97.429,78.4075,13.130962,0.549,0.913,0.34598896,23.933598,0.792,11586.7943649919,9.357,1485.0,0.891,8.908
ALB,2011,5.133704,53.247,11.276407,7.63,36.4,97.429,78.0919,12.611583,0.549,0.884,0.32,22.882267,0.766,11052.7559176482,9.357,1485.0,0.88,8.908
DZA,2022,5.3291,71.848,10.685,2.681,34.8,93.083,75.522,24.677404,0.12258990598076923,0.514,0.276,,0.74,11198.2334828027,9.3,89.0,0.491,6.993
DZA,2021,5.1223,74.261,10.685,2.681,34.8,93.083,76.3767,25.22027,0.2184743755769231,0.514,0.276,,0.745,11029.1387822365,5.6,89.0,0.491,6.993
DZA,2020,4.8871,73.733,10.685,2.681,34.8,93.083,74.4528,24.726349,0.3165694865754717,0.59,0.276,,0.736,10844.7707638851,6.2,89.0,0.553,7.0915527
DZA,2019,5.0051,73.189,10.728213,2.6,34.8,93.083,76.4742,24.009596,0.219,0.571,0.276,,0.748,11627.2799176185,6.9,89.0,0.587,6.993
DZA,2018,5.2113,72.629,10.655122,2.58,35.0,93.083,76.0656,24.166739,0.219,0.606,0.276,,0.745,11725.8777414874,9.3,89.0,0.579,7.0480285
DZA,2017,5.2946,72.052,10.628852,2.54,33.0,93.083,75.7428,24.14788,0.219,0.601,0.276,,0.744,11809.4830333846,11.4,89.0,0.585,6.84
DZA,2016,5.872,71.459,10.703443,2.61,34.0,93.083,75.7318,24.712156,0.219,0.61,0.276,,0.743,11888.322966871,12.7,89.0,0.548,6.993
DZA,2015,6.355,70.848,10.803463,2.72,36.0,93.083,75.622,23.892889,0.219,0.613,0.276,,0.74,11751.6341191101,13.0,89.0,0.621,6.993
DZA,2014,5.605,70.221,10.7653675,2.78,36.0,93.08334,75.11,24.27183,0.219,0.606,0.276,,0.735,11561.259795238,9.3,89.0,0.617,6.993
DZA,2011,5.367827,68.236,10.509482,2.94,34.8,93.083,74.1234,23.751097,0.219,0.576,0.27615732,,0.727,11113.9688922379,9.3,89.0,0.61,6.993
AGO,2017,3.7948,64.839,9.794801,12.364,19.0,,61.6798,22.671217,,0.531,,16.64086,0.597,7216.06137267002,21.0,1010.0,0.548,4.11
AGO,2016,3.795,64.149,10.067264,12.8709,18.0,,61.0923,22.886354,,0.46,,16.66509,0.596,7487.92509764052,21.0,1010.0,0.508,4.11
AGO,2015,3.866,63.446,10.436197,13.2696,15.0,,60.6546,22.814539,,0.449,,22.88841,0.582,7966.88555561333,21.0,1010.0,0.505,4.11
AGO,2014,4.033,62.731,10.70123,13.1431,19.0,,60.0397,22.413275,,0.449,,29.216988,0.563,8183.1645766116,21.0,1010.0,0.505,4.11
AGO,2011,4.17838,60.528,11.522309,13.4898,17.75,,57.5961,21.864286,,0.454,,43.97701,0.526,7663.28605266516,21.0,1010.0,0.515,4.11
ARG,2022,6.0237,91.716,4.086,8.509,36.2,91.68552,76.483,14.760651,0.3418394508269231,0.836,,29.757,0.846,22461.44094262,11.029,591.0,0.878,8.673
ARG,2021,5.967,92.229,4.086,8.509,36.2,90.295,75.3899,15.234323,0.5806852351153846,0.853,,29.081787,0.842,21599.7967368023,13.1,591.0,0.897,8.673
ARG,2020,5.9293,92.111,4.086,8.509,36.2,90.295,75.8921,15.251473,0.2100676682264151,0.868,,29.451418,0.84,19694.5605233461,13.0,591.0,0.914,8.41131
ARG,2019,5.9747,91.991,3.9129262,8.14,36.2,90.295,77.2845,15.001023,0.378,0.833,,28.184532,0.852,22071.7480998394,12.6,591.0,0.879,8.673
ARG,2018,6.0863,91.87,3.9297204,8.99,40.0,90.295,76.9994,14.943943,0.378,0.857,,28.5132,0.85,22747.2416575831,12.9,591.0,0.896,8.739134
ARG,2017,6.388,91.749,3.9514005,8.69,39.0,90.295,76.833,15.12979,0.378,0.85,,30.04403,0.851,23597.117752839,11.2,591.0,0.88,8.87
ARG,2016,6.599,91.627,4.1434073,8.06,36.0,90.295,76.3077,14.622041,0.378,0.861,,30.661215,0.847,23189.5274451329,8.6,591.0,0.899,8.673
ARG,2015,6.65,91.503,4.2455792,8.1,32.0,90.295,76.7602,15.122681,0.378,0.869,,31.453716,0.848,23933.8866120953,5.8,591.0,0.894,8.673
