entity,food_insec,precipitation,indiv_free,happiness,gini,hdi,gdp_pc,corruption,air_deaths,life_expectancy,temperature,urbanization,hri,suicides,taxes,schooling
Afghanistan,25.495,16.527699,5.91,16.0,63.081,13.735786,0.381,,9.173828,0.483,2060.69897292797,17.3,327.0,0.558,4.9497876,3.2033
Albania,60.319,9.718166,3.94,36.0,79.1838,13.70238,0.901,0.30148283,25.149136,0.806,13317.0927360367,10.0,1485.0,0.881,8.851396,4.7186
Algeria,72.629,10.655122,2.58,35.0,76.0656,24.166739,0.606,,,0.745,11725.8777414874,9.3,89.0,0.579,7.0480285,5.2113
Argentina,91.87,3.9297204,8.99,40.0,76.9994,14.943943,0.857,,28.5132,0.85,22747.2416575831,12.9,591.0,0.896,8.739134,6.0863
Armenia,63.149,11.455856,1.65,35.0,75.0645,8.187609,0.896,0.344335,21.306564,0.771,13231.4310690444,1.1,562.0,0.888,8.07041,4.5594
Australia,86.012,1.089121,11.2611,77.0,83.3871,22.6032,0.967,0.34333763,29.41556,0.941,49085.9333718305,3.8,534.0,0.934,11.40922,7.228
Austria,58.297,3.1663206,11.188,76.0,81.6862,8.13189,0.942,0.3084879,42.79955,0.917,55217.2865300768,1.1,1110.0,0.926,11.275588,7.246
Azerbaijan,55.68,10.833136,3.92,25.0,72.7601,13.29211,0.341,,14.052589,0.757,14209.5931685619,0.5,447.0,0.389,9.373489,5.2077
Bahrain,89.287,14.7251215,7.04,36.0,79.8566,26.753805,0.233,,1.1436089,0.879,48937.6603623739,,83.0,0.214,9.518841,6.1994
Bangladesh,36.632,20.456732,3.75,26.0,72.5675,25.340103,0.373,,7.9265003,0.635,5124.49874345916,10.6,2666.0,0.428,5.9978147,4.4558
Belarus,78.595,6.7878304,17.9443,44.0,74.5676,7.92857,0.691,0.25240526,35.620087,0.818,18974.7452169516,,618.0,0.653,,5.3225
Belgium,98.001,3.3239088,14.3193,75.0,81.4787,11.186072,0.98,0.27214414,46.405468,0.933,51113.4817384021,,847.0,0.961,11.240353,6.923
Benin,47.312,15.164894,12.9745,40.0,60.1403,27.714806,0.932,0.37948644,,0.53,3040.16735376931,14.2,1039.0,0.878,5.64372,4.8832
Bhutan,40.895,16.179342,5.11,68.0,71.1286,8.47277,0.796,,17.21909,0.658,11931.6631740763,,2200.0,0.733,,5.0821
Bolivia,69.425,8.636104,6.97,29.0,67.748,20.248945,0.774,0.42579758,24.977852,0.714,8466.29319952075,,1146.0,0.845,,5.7793
Bosnia and Herzegovina,48.245,12.450942,8.18,38.0,77.0926,11.184213,0.789,,37.505783,0.776,14267.5081989658,1.5,1028.0,0.81,8.638537,5.3865
